"Timestamp","What is your age bracket?","What is your gender?","What is your education level?","How often do you use AI tools for your work?","Which AI tools have you used?","Which AI tool you prefer?","Which AI tool is more helpful for your work?","In terms of performance and capabilities, how does Google BARD compare to GPT 3/ GPT 4?","In terms of performance and capabilities, how does GPT 3/ GPT 4 compare to Google BARD?","For the AI tool that you use, do you think there is a room for improvement?"
"2023/07/08 7:41:30 PM GMT+8","25-35","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:41:49 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:42:08 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:42:25 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:42:40 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:42:58 PM GMT+8","15-25","Male","Senior High School","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:43:13 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:43:36 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:44:04 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:44:35 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:44:58 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:45:16 PM GMT+8","25-35","Male","Master's","Everytime","GPT 3/GPT 4;Google BARD","GPT 3/ GPT 4","GPT 3/ GPT 4","Excellent","Excellent","Agree"
"2023/07/08 7:46:41 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:46:54 PM GMT+8","25-35","Male","PhD","Often","GPT 3/GPT 4;Google BARD","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Good","Agree"
"2023/07/08 7:47:03 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:47:30 PM GMT+8","35-45","Male","PhD","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Good","Agree"
"2023/07/08 7:47:33 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:47:56 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:48:12 PM GMT+8","15-25","Male","Bachelor's","Often","Google BARD","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:48:34 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:49:00 PM GMT+8","15-25","Male","Bachelor's","Often","Google BARD","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:49:25 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:49:49 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:50:15 PM GMT+8","25-35","Male","PhD","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Good","Neither Agree nor Disagree"
"2023/07/08 7:53:36 PM GMT+8","25-35","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Average","Agree"
"2023/07/08 8:13:33 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4;Other","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Average","Agree"
"2023/07/08 8:19:40 PM GMT+8","25-35","Male","Master's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Excellent","Agree"
"2023/07/08 8:21:40 PM GMT+8","15-25","Male","Bachelor's","Rarely","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Excellent","Excellent","Agree"
"2023/07/08 8:33:01 PM GMT+8","35-45","Male","Bachelor's","Rarely","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Average","Agree"
"2023/07/08 8:53:17 PM GMT+8","25-35","Male","Master's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Average","Agree"
"2023/07/08 9:00:12 PM GMT+8","35-45","Male","PhD","Everytime","GPT 3/GPT 4;Google BARD;Other","Google BARD","Google BARD","Good","Excellent","Agree"
"2023/07/08 9:10:00 PM GMT+8","25-35","Male","PhD","Everytime","Other","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Excellent","Agree"
"2023/07/08 9:14:13 PM GMT+8","15-25","Male","Master's","Often","GPT 3/GPT 4","Google BARD","GPT 3/ GPT 4","Average","Good","Agree"
"2023/07/08 9:15:11 PM GMT+8","25-35","Prefer Not to Say","Master's","Often","Google BARD;Other","Google BARD","Google BARD","Good","Good","Agree"
"2023/07/08 9:27:40 PM GMT+8","25-35","Male","PhD","Rarely","Other","Google BARD","Google BARD","Good","Good","Agree"
"2023/07/08 9:33:06 PM GMT+8","25-35","Male","Master's","Often","GPT 3/GPT 4;Google BARD;Other","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Good","Agree"
"2023/07/08 9:50:07 PM GMT+8","25-35","Male","PhD","Everytime","GPT 3/GPT 4;Google BARD","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 9:53:41 PM GMT+8","15-25","Male","Master's","Often","GPT 3/GPT 4;Other","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Average","Agree"
"2023/07/08 9:56:09 PM GMT+8","25-35","Male","PhD","Rarely","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Average","Neither Agree nor Disagree"
"2023/07/08 10:17:24 PM GMT+8","25-35","Male","Master's","Rarely","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Good","Agree"
"2023/07/08 10:18:35 PM GMT+8","25-35","Male","Master's","Rarely","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Good","Agree"
"2023/07/08 10:18:45 PM GMT+8","25-35","Male","Master's","Never","Other","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Good","Neither Agree nor Disagree"
"2023/07/08 10:18:48 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Average","Agree"
"2023/07/08 10:21:17 PM GMT+8","25-35","Female","Bachelor's","Rarely","Other","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:21:18 PM GMT+8","15-25","Female","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Good","Agree"
"2023/07/08 10:22:57 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:23:19 PM GMT+8","15-25","Female","Bachelor's","Rarely","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Average","Agree"
"2023/07/08 10:23:30 PM GMT+8","25-35","Female","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Good","Agree"
"2023/07/08 10:23:41 PM GMT+8","25-35","Male","PhD","Often","GPT 3/GPT 4;Google BARD;Other","Google BARD","Google BARD","Excellent","Average","Agree"
"2023/07/08 10:24:40 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Excellent","Agree"
"2023/07/08 10:25:10 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Excellent","Agree"
"2023/07/08 10:25:43 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:26:01 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:26:17 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:26:29 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:26:47 PM GMT+8","25-35","Male","Master's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:27:02 PM GMT+8","25-35","Male","Master's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:27:16 PM GMT+8","15-25","Female","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:27:31 PM GMT+8","15-25","Male","Master's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:27:48 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:28:06 PM GMT+8","15-25","Male","Senior High School","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:28:19 PM GMT+8","15-25","Male","Master's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:28:30 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:28:42 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:28:52 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:29:05 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:29:19 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:29:37 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:29:52 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:30:06 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:30:18 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:30:30 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:30:46 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:31:04 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:32:39 PM GMT+8","15-25","Male","Bachelor's","Rarely","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Good","Agree"
"2023/07/08 10:33:25 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:33:48 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:34:05 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","Google BARD","Average","Good","Agree"
"2023/07/08 10:34:19 PM GMT+8","15-25","Female","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:34:33 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:34:45 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4;Google BARD","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Good","Agree"
"2023/07/08 10:34:47 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:35:03 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:38:26 PM GMT+8","25-35","Male","Master's","Everytime","GPT 3/GPT 4;Google BARD;Other","GPT 3/ GPT 4","GPT 3/ GPT 4","Poor","Good","Agree"
"2023/07/08 10:38:49 PM GMT+8","15-25","Male","Bachelor's","Rarely","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Good","Agree"
"2023/07/08 10:40:05 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Excellent","Excellent","Agree"
"2023/07/08 10:40:10 PM GMT+8","15-25","Female","Master's","Everytime","GPT 3/GPT 4;Google BARD;Other","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Excellent","Agree"
"2023/07/08 10:40:14 PM GMT+8","15-25","Male","Bachelor's","Often","Other","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Good","Agree"
"2023/07/08 10:41:57 PM GMT+8","15-25","Male","Bachelor's","Rarely","GPT 3/GPT 4;Google BARD","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Good","Agree"
"2023/07/08 10:42:17 PM GMT+8","15-25","Male","Senior High School","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Poor","Excellent","Agree"
"2023/07/08 10:43:17 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:43:32 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:43:45 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:43:58 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:44:14 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:44:29 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:44:46 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:45:01 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:45:04 PM GMT+8","15-25","Female","Bachelor's","Rarely","GPT 3/GPT 4;Google BARD","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:45:16 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:45:28 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:45:43 PM GMT+8","15-25","Male","Senior High School","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:45:58 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Excellent","Excellent","Agree"
"2023/07/08 10:46:11 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:46:28 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:46:29 PM GMT+8","25-35","Male","Master's","Rarely","GPT 3/GPT 4;Google BARD;Other","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Good","Agree"
"2023/07/08 10:46:42 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:46:58 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:47:17 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:47:32 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:47:48 PM GMT+8","15-25","Male","Bachelor's","Everytime","Google BARD","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:48:57 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4;Other","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Good","Agree"
"2023/07/08 10:49:18 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:49:35 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:49:50 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:50:14 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:50:31 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:50:54 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:51:29 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Good","Agree"
"2023/07/08 10:53:07 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Good","Agree"
"2023/07/08 10:54:01 PM GMT+8","15-25","Male","Bachelor's","Rarely","GPT 3/GPT 4;Google BARD","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Average","Agree"
"2023/07/08 10:54:15 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:54:34 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:54:41 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Good","Agree"
"2023/07/08 10:55:01 PM GMT+8","15-25","Male","Senior High School","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:56:19 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Disagree"
"2023/07/08 10:56:34 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:56:45 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4;Google BARD","Google BARD","Google BARD","Average","Average","Neither Agree nor Disagree"
"2023/07/08 10:57:26 PM GMT+8","15-25","Female","Bachelor's","Never","Google BARD","Google BARD","Google BARD","Average","Good","Agree"
"2023/07/08 10:58:00 PM GMT+8","15-25","Male","Senior High School","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:58:02 PM GMT+8","15-25","Male","Master's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Excellent","Agree"
"2023/07/08 10:58:49 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:59:04 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:59:20 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 10:59:38 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
